#	startTime:1561093302833
#	SiteID:5cd969e439e2fc0b4afea869	SiteName:华轻梅陇购物中心	FloorId:5cd969ed39e2fc0b4afeb291	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1561093302833	TYPE_WAYPOINT	61.501965	23.372303
1561093302959	TYPE_ACCELEROMETER	-0.13998413	1.1485596	9.566513
1561093302959	TYPE_MAGNETIC_FIELD	-13.98	-30.179998	-23.88
1561093302959	TYPE_GYROSCOPE	0.073410034	-0.27438354	-0.11703491
1561093302959	TYPE_ROTATION_VECTOR	0.017616196	-0.05787232	-0.97051173
1561093302959	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.219997	-45.42	-166.5
1561093302959	TYPE_GYROSCOPE_UNCALIBRATED	-0.42514038	-0.5986328	-0.52900696
1561093302959	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07298279	1.1772766	9.753143
1561093302978	TYPE_ACCELEROMETER	-0.08375549	1.2167511	9.323639
1561093302978	TYPE_MAGNETIC_FIELD	-13.98	-30.179998	-23.88
1561093302978	TYPE_GYROSCOPE	0.18824768	-0.15342712	0.003616333
1561093302978	TYPE_ROTATION_VECTOR	0.017616196	-0.05787232	-0.97051173
1561093302978	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.219997	-45.42	-166.5
1561093302978	TYPE_GYROSCOPE_UNCALIBRATED	0.011001587	-0.20280457	-0.19639587
1561093302978	TYPE_ACCELEROMETER_UNCALIBRATED	-0.01675415	1.2837524	9.375092
