#	startTime:1561093692149
#	SiteID:5cd969e439e2fc0b4afea869	SiteName:华轻梅陇购物中心	FloorId:5cd969ed39e2fc0b4afeb291	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1561093692149	TYPE_WAYPOINT	37.367443	49.535755
1561093692277	TYPE_ACCELEROMETER	-0.15315247	1.7407837	8.611771
1561093692277	TYPE_MAGNETIC_FIELD	-14.94	-27.9	-20.46
1561093692277	TYPE_GYROSCOPE	-0.03286743	0.007827759	-0.072128296
1561093692277	TYPE_ROTATION_VECTOR	0.029988775	-0.09146646	-0.96185946
1561093692277	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.179996	-43.14	-163.07999
1561093692277	TYPE_GYROSCOPE_UNCALIBRATED	-0.09527588	0.07940674	-0.15148926
1561093692277	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13639832	1.7431793	8.65126
1561093692296	TYPE_ACCELEROMETER	-0.21775818	1.750351	9.044876
1561093692296	TYPE_MAGNETIC_FIELD	-14.7	-28.199999	-20.52
1561093692296	TYPE_GYROSCOPE	0.0043792725	-0.036758423	-0.055023193
1561093692296	TYPE_ROTATION_VECTOR	0.032546986	-0.09327473	-0.96425617
1561093692296	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.94	-43.44	-163.14
1561093692296	TYPE_GYROSCOPE_UNCALIBRATED	-0.069625854	-0.0036621094	-0.114227295
1561093692296	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17947388	1.7479553	8.77449
1561093692316	TYPE_ACCELEROMETER	-0.2715912	1.6893463	9.53421
1561093692316	TYPE_MAGNETIC_FIELD	-14.7	-28.26	-20.52
1561093692316	TYPE_GYROSCOPE	-0.098846436	-0.056915283	-0.028152466
1561093692316	TYPE_ROTATION_VECTOR	0.03746115	-0.088675655	-0.9551911
1561093692316	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.94	-43.5	-163.14
1561093692316	TYPE_GYROSCOPE_UNCALIBRATED	-0.2333374	0.047042847	-0.10140991
1561093692316	TYPE_ACCELEROMETER_UNCALIBRATED	-0.25723267	1.725235	9.323639
1561093692335	TYPE_ACCELEROMETER	-0.08734131	1.6821594	9.702896
1561093692335	TYPE_MAGNETIC_FIELD	-14.88	-28.26	-20.58
1561093692335	TYPE_GYROSCOPE	-0.21492004	0.01272583	-0.016540527
1561093692335	TYPE_ROTATION_VECTOR	0.039254725	-0.079147294	-0.94908285
1561093692335	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.12	-43.5	-163.2
1561093692335	TYPE_GYROSCOPE_UNCALIBRATED	-0.29136658	0.10934448	-0.086746216
1561093692335	TYPE_ACCELEROMETER_UNCALIBRATED	-0.221344	1.6701965	9.651459
1561093692354	TYPE_ACCELEROMETER	0.088531494	1.7192535	9.716064
1561093692354	TYPE_MAGNETIC_FIELD	-14.58	-28.199999	-20.699999
1561093692354	TYPE_GYROSCOPE	-0.2167511	0.050598145	0.0023956299
1561093692354	TYPE_ROTATION_VECTOR	0.026002355	-0.08147484	-0.96279
1561093692354	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.82	-43.44	-163.31999
1561093692354	TYPE_GYROSCOPE_UNCALIBRATED	-0.25227356	0.12950134	-0.07757568
1561093692354	TYPE_ACCELEROMETER_UNCALIBRATED	0.050247192	1.7001038	9.708878
1561093692374	TYPE_ACCELEROMETER	0.0143585205	1.7407837	9.82373
1561093692374	TYPE_MAGNETIC_FIELD	-14.34	-28.14	-20.88
1561093692374	TYPE_GYROSCOPE	-0.16175842	0.0524292	-0.012268066
1561093692374	TYPE_ROTATION_VECTOR	0.025650632	-0.079715535	-0.96415704
1561093692374	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.579998	-43.379997	-163.5
1561093692374	TYPE_GYROSCOPE_UNCALIBRATED	-0.19973755	0.09957886	-0.10934448
1561093692374	TYPE_ACCELEROMETER_UNCALIBRATED	0.052642822	1.7419739	9.76152
1561093692393	TYPE_ACCELEROMETER	-0.0993042	1.676178	9.951752
1561093692393	TYPE_MAGNETIC_FIELD	-14.4	-28.14	-21.0
1561093692393	TYPE_GYROSCOPE	-0.114730835	5.0354004E-4	-0.040985107
1561093692393	TYPE_ROTATION_VECTOR	0.0256016	-0.07836295	-0.9643281
1561093692393	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.64	-43.379997	-163.62
1561093692393	TYPE_GYROSCOPE_UNCALIBRATED	-0.15881348	0.05680847	-0.12705994
1561093692393	TYPE_ACCELEROMETER_UNCALIBRATED	-0.025131226	1.701294	9.893127
1561093692412	TYPE_ACCELEROMETER	-0.1328125	1.7252197	10.046265
1561093692412	TYPE_MAGNETIC_FIELD	-14.639999	-28.5	-20.88
1561093692412	TYPE_GYROSCOPE	-0.08479309	-0.016601562	-0.048919678
1561093692412	TYPE_ROTATION_VECTOR	0.025268158	-0.07748986	-0.9645194
1561093692412	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.879997	-43.739998	-163.5
1561093692412	TYPE_GYROSCOPE_UNCALIBRATED	-0.14047241	0.058639526	-0.11729431
1561093692412	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1603241	1.7024994	9.997208
1561093692432	TYPE_ACCELEROMETER	-0.032302856	1.6929321	10.043884
1561093692432	TYPE_MAGNETIC_FIELD	-14.7	-28.26	-20.88
1561093692432	TYPE_GYROSCOPE	-0.0725708	-0.01171875	-0.018997192
1561093692432	TYPE_ROTATION_VECTOR	0.02498724	-0.0767865	-0.9646723
1561093692432	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.94	-43.5	-163.5
1561093692432	TYPE_GYROSCOPE_UNCALIBRATED	-0.12521362	0.066589355	-0.08308411
1561093692432	TYPE_ACCELEROMETER_UNCALIBRATED	-0.04786682	1.7108765	10.070206
1561093692451	TYPE_ACCELEROMETER	-0.24885559	1.7001038	9.867996
1561093692451	TYPE_MAGNETIC_FIELD	-14.94	-28.08	-21.0
1561093692451	TYPE_GYROSCOPE	-0.047531128	0.018218994	0.0017852783
1561093692451	TYPE_ROTATION_VECTOR	0.024791243	-0.076213785	-0.9647293
1561093692451	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.179996	-43.32	-163.62
1561093692451	TYPE_GYROSCOPE_UNCALIBRATED	-0.09222412	0.12522888	-0.073913574
1561093692451	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14237976	1.6881409	9.962524
1561093692470	TYPE_ACCELEROMETER	-0.061019897	1.7228394	9.656235
1561093692470	TYPE_MAGNETIC_FIELD	-14.759999	-28.08	-21.119999
1561093692470	TYPE_GYROSCOPE	-0.010284424	0.07319641	0.01889038
1561093692470	TYPE_ROTATION_VECTOR	0.025209619	-0.07580789	-0.96472543
1561093692470	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.999996	-43.32	-163.73999
1561093692470	TYPE_GYROSCOPE_UNCALIBRATED	-0.046417236	0.13439941	-0.037872314
1561093692470	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20817566	1.7216339	9.773483
1561093692490	TYPE_ACCELEROMETER	0.18424988	1.7563324	9.253052
1561093692490	TYPE_MAGNETIC_FIELD	-14.4	-28.14	-21.18
1561093692490	TYPE_GYROSCOPE	0.052627563	0.042663574	0.060409546
1561093692490	TYPE_ROTATION_VECTOR	0.025801493	-0.07581206	-0.9645988
1561093692490	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.64	-43.379997	-163.79999
1561093692490	TYPE_GYROSCOPE_UNCALIBRATED	0.03237915	0.10446167	-0.014663696
1561093692490	TYPE_ACCELEROMETER_UNCALIBRATED	0.09451294	1.7216339	9.489929
1561093692509	TYPE_ACCELEROMETER	0.25723267	1.9537354	8.798416
1561093692509	TYPE_MAGNETIC_FIELD	-14.759999	-28.26	-21.3
1561093692509	TYPE_GYROSCOPE	0.13204956	0.037765503	0.05430603
1561093692509	TYPE_ROTATION_VECTOR	0.026288696	-0.076624215	-0.9643649
1561093692509	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.999996	-43.5	-163.92
1561093692509	TYPE_GYROSCOPE_UNCALIBRATED	0.08796692	0.11727905	-0.042770386
1561093692509	TYPE_ACCELEROMETER_UNCALIBRATED	0.20100403	1.8400879	8.997025
1561093692528	TYPE_ACCELEROMETER	0.25842285	2.0410767	8.622543
1561093692528	TYPE_MAGNETIC_FIELD	-14.94	-28.14	-21.48
1561093692528	TYPE_GYROSCOPE	0.14183044	0.038986206	0.016433716
1561093692528	TYPE_ROTATION_VECTOR	0.027048768	-0.077917166	-0.96415216
1561093692528	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.179996	-43.379997	-164.09999
1561093692528	TYPE_GYROSCOPE_UNCALIBRATED	0.0488739	0.08735657	-0.08857727
1561093692528	TYPE_ACCELEROMETER_UNCALIBRATED	0.324234	2.0315094	8.687149
1561093692548	TYPE_ACCELEROMETER	-0.13519287	1.8963165	8.596222
1561093692548	TYPE_MAGNETIC_FIELD	-14.7	-28.199999	-21.6
1561093692548	TYPE_GYROSCOPE	0.069747925	-0.0043792725	-0.04159546
1561093692548	TYPE_ROTATION_VECTOR	0.027474713	-0.07891227	-0.96408534
1561093692548	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.94	-43.44	-164.22
1561093692548	TYPE_GYROSCOPE_UNCALIBRATED	-0.036636353	0.061080933	-0.1484375
1561093692548	TYPE_ACCELEROMETER_UNCALIBRATED	0.06581116	1.9860535	8.593826
1561093692567	TYPE_ACCELEROMETER	-0.09451294	1.7431793	8.589035
1561093692567	TYPE_MAGNETIC_FIELD	-14.759999	-28.08	-21.66
1561093692567	TYPE_GYROSCOPE	-0.014541626	-0.011108398	-0.07763672
1561093692567	TYPE_ROTATION_VECTOR	0.02749424	-0.07916358	-0.9642347
