#	startTime:1561093733937
#	SiteID:5cd969e439e2fc0b4afea869	SiteName:华轻梅陇购物中心	FloorId:5cd969ed39e2fc0b4afeb291	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1561093733938	TYPE_WAYPOINT	28.009895	43.375885
1561093734061	TYPE_ACCELEROMETER	-0.3397827	1.9226379	9.682556
1561093734061	TYPE_MAGNETIC_FIELD	-26.76	8.639999	-31.199999
1561093734061	TYPE_GYROSCOPE	0.01965332	-0.007736206	0.029266357
1561093734061	TYPE_ROTATION_VECTOR	0.07958765	-0.049570777	-0.51409113
1561093734061	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-63.0	-6.6000004	-173.81999
1561093734061	TYPE_GYROSCOPE_UNCALIBRATED	-0.29563904	0.0061035156	-0.10507202
1561093734061	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3397827	1.8831635	9.438492
1561093734080	TYPE_ACCELEROMETER	-0.30030823	1.8927307	9.259033
1561093734080	TYPE_MAGNETIC_FIELD	-26.76	8.639999	-31.199999
1561093734080	TYPE_GYROSCOPE	0.10762024	-0.08317566	0.056137085
1561093734080	TYPE_ROTATION_VECTOR	0.07958765	-0.049570777	-0.51409113
1561093734080	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-63.0	-6.6000004	-173.81999
1561093734080	TYPE_GYROSCOPE_UNCALIBRATED	-0.21134949	0.025344849	-0.086746216
1561093734080	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22373962	1.8759766	9.195618
1561093734100	TYPE_ACCELEROMETER	-0.16271973	1.8197479	9.193222
1561093734100	TYPE_MAGNETIC_FIELD	-26.939999	8.5199995	-31.199999
1561093734100	TYPE_GYROSCOPE	0.05873108	-0.089904785	0.064086914
1561093734100	TYPE_ROTATION_VECTOR	0.09154372	-0.04317299	-0.52523893
1561093734100	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-63.179996	-6.7200003	-173.81999
1561093734100	TYPE_GYROSCOPE_UNCALIBRATED	0.046432495	0.0476532	-0.028717041
1561093734100	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22373962	1.8759766	9.195618
1561093734119	TYPE_ACCELEROMETER	-0.25604248	1.6785736	9.183655
1561093734119	TYPE_MAGNETIC_FIELD	-27.0	8.5199995	-31.199999
1561093734119	TYPE_GYROSCOPE	-0.0029449463	-0.028823853	0.080581665
1561093734119	TYPE_ROTATION_VECTOR	0.08468598	-0.040080108	-0.5214036
1561093734119	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-63.239998	-6.7200003	-173.81999
1561093734119	TYPE_GYROSCOPE_UNCALIBRATED	0.026260376	-0.034805298	-0.019561768
1561093734119	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19262695	1.7371979	9.18605
