#	startTime:1561093781354
#	SiteID:5cd969e439e2fc0b4afea869	SiteName:华轻梅陇购物中心	FloorId:5cd969ed39e2fc0b4afeb291	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1561093781354	TYPE_WAYPOINT	20.092953	61.07817
1561093781471	TYPE_ACCELEROMETER	0.020339966	2.0219421	9.434906
1561093781471	TYPE_MAGNETIC_FIELD	-12.96	-25.859999	-23.4
1561093781471	TYPE_GYROSCOPE	-0.014862061	-0.012008667	0.09799194
1561093781471	TYPE_ROTATION_VECTOR	0.029185083	-0.09561997	-0.96120733
1561093781471	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-49.199997	-41.1	-166.01999
1561093781471	TYPE_GYROSCOPE_UNCALIBRATED	0.06842041	-0.040298462	0.045181274
1561093781471	TYPE_ACCELEROMETER_UNCALIBRATED	0.020339966	2.0327148	9.383453
1561093781490	TYPE_ACCELEROMETER	-0.06700134	1.9704895	9.378677
1561093781490	TYPE_MAGNETIC_FIELD	-12.78	-26.099998	-23.4
1561093781490	TYPE_GYROSCOPE	-0.13059998	-0.015991211	0.09706116
1561093781490	TYPE_ROTATION_VECTOR	0.024296222	-0.10309392	-0.96619165
1561093781490	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-49.019997	-41.339996	-166.01999
1561093781490	TYPE_GYROSCOPE_UNCALIBRATED	0.019866943	-0.007019043	0.036331177
1561093781490	TYPE_ACCELEROMETER_UNCALIBRATED	0.020339966	2.0327148	9.383453
1561093781510	TYPE_ACCELEROMETER	-0.27398682	1.7671051	9.522247
1561093781510	TYPE_MAGNETIC_FIELD	-12.599999	-26.34	-23.16
1561093781510	TYPE_GYROSCOPE	-0.18803406	-0.07827759	0.14042664
1561093781510	TYPE_ROTATION_VECTOR	0.03281729	-0.0918946	-0.96507055
1561093781510	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.839996	-41.58	-165.78
1561093781510	TYPE_GYROSCOPE_UNCALIBRATED	-0.1502533	0.08369446	0.010375977
1561093781510	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31585693	1.7024994	9.559341
1561093781529	TYPE_ACCELEROMETER	-0.36012268	1.696518	9.536606
1561093781529	TYPE_MAGNETIC_FIELD	-12.599999	-26.64	-23.1
1561093781529	TYPE_GYROSCOPE	-0.24118042	-0.09477234	0.17219543
1561093781529	TYPE_ROTATION_VECTOR	0.038285747	-0.07962469	-0.96196115
1561093781529	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.839996	-41.879997	-165.72
1561093781529	TYPE_GYROSCOPE_UNCALIBRATED	-0.22477722	0.019561768	0.037246704
1561093781529	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41036987	1.6666107	9.504303
1561093781548	TYPE_ACCELEROMETER	-0.3708954	1.5780792	9.49472
1561093781548	TYPE_MAGNETIC_FIELD	-12.66	-26.88	-22.859999
1561093781548	TYPE_GYROSCOPE	-0.28700256	-0.110672	0.1923523
1561093781548	TYPE_ROTATION_VECTOR	0.044204667	-0.07648293	-0.95770246
1561093781548	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.899998	-42.12	-165.48
1561093781548	TYPE_GYROSCOPE_UNCALIBRATED	-0.2761078	-0.017700195	0.07940674
1561093781548	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22612	1.4811554	9.549759
1561093781568	TYPE_ACCELEROMETER	0.011962891	1.4452667	9.716064
1561093781568	TYPE_MAGNETIC_FIELD	-12.54	-27.06	-22.619999
1561093781568	TYPE_GYROSCOPE	-0.25828552	-0.10882568	0.19174194
1561093781568	TYPE_ROTATION_VECTOR	0.029147668	-0.07072745	-0.9681024
1561093781568	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.78	-42.3	-165.23999
1561093781568	TYPE_GYROSCOPE_UNCALIBRATED	-0.3292389	-0.03175354	0.10383606
1561093781568	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22612	1.4811554	9.549759
1561093781587	TYPE_ACCELEROMETER	0.8135681	1.8018036	10.198212
1561093781587	TYPE_MAGNETIC_FIELD	-12.54	-27.18	-22.619999
1561093781587	TYPE_GYROSCOPE	-0.06036377	-0.09844971	0.092803955
1561093781587	TYPE_ROTATION_VECTOR	-8.7610405E-4	-0.08137857	-0.97290415
1561093781587	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-48.78	-42.42	-165.23999
1561093781587	TYPE_GYROSCOPE_UNCALIBRATED	-0.35551453	-0.03970337	0.1184845
