#	startTime:1561093825732
#	SiteID:5cd969e439e2fc0b4afea869	SiteName:华轻梅陇购物中心	FloorId:5cd969ed39e2fc0b4afeb291	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1561093825732	TYPE_WAYPOINT	30.234182	65.62049
1561093825847	TYPE_ACCELEROMETER	0.27757263	1.8101807	9.763916
1561093825847	TYPE_MAGNETIC_FIELD	-31.56	3.9599998	-28.32
1561093825847	TYPE_GYROSCOPE	-0.16481018	0.08358765	-0.25172424
1561093825847	TYPE_ROTATION_VECTOR	0.052982613	-0.07070027	-0.58654815
1561093825847	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.799995	-11.28	-170.94
1561093825847	TYPE_GYROSCOPE_UNCALIBRATED	-0.22721863	0.15516663	-0.3310852
1561093825847	TYPE_ACCELEROMETER_UNCALIBRATED	0.5348053	1.8029938	9.952957
1561093825866	TYPE_ACCELEROMETER	-0.61735535	1.6869507	9.645477
1561093825866	TYPE_MAGNETIC_FIELD	-31.439999	3.84	-28.199999
1561093825866	TYPE_GYROSCOPE	0.022094727	0.095199585	-0.16131592
1561093825866	TYPE_ROTATION_VECTOR	0.087286964	-0.02595042	-0.59689105
1561093825866	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.67999	-11.4	-170.81999
1561093825866	TYPE_GYROSCOPE_UNCALIBRATED	-0.22721863	0.15516663	-0.3310852
1561093825866	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13279724	1.7695007	9.651459
1561093825886	TYPE_ACCELEROMETER	-1.298111	1.5708923	9.590439
1561093825886	TYPE_MAGNETIC_FIELD	-31.26	3.9599998	-28.199999
1561093825886	TYPE_GYROSCOPE	0.27072144	0.027999878	-0.088638306
1561093825886	TYPE_ROTATION_VECTOR	0.087286964	-0.02595042	-0.59689105
1561093825886	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.5	-11.28	-170.81999
1561093825886	TYPE_GYROSCOPE_UNCALIBRATED	-0.04031372	0.16677856	-0.24067688
1561093825886	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0552368	1.5840607	9.662231
1561093825905	TYPE_ACCELEROMETER	-1.6989136	1.8089752	9.284164
1561093825905	TYPE_MAGNETIC_FIELD	-31.38	4.2	-28.199999
1561093825905	TYPE_GYROSCOPE	0.318985	0.007843018	0.004837036
1561093825905	TYPE_ROTATION_VECTOR	0.103688374	-2.595494E-5	-0.6031959
1561093825905	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.619995	-11.04	-170.81999
1561093825905	TYPE_GYROSCOPE_UNCALIBRATED	0.20831299	0.09957886	-0.16799927
1561093825905	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4871521	1.6785736	9.4205475
1561093825924	TYPE_ACCELEROMETER	-1.3172607	2.0805664	9.162125
1561093825924	TYPE_MAGNETIC_FIELD	-31.439999	4.44	-28.08
1561093825924	TYPE_GYROSCOPE	0.2749939	0.0041656494	0.12394714
1561093825924	TYPE_ROTATION_VECTOR	0.12900274	0.013530244	-0.5991224
1561093825924	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.67999	-10.799999	-170.7
1561093825924	TYPE_GYROSCOPE_UNCALIBRATED	0.25657654	0.079422	-0.074523926
1561093825924	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6725922	1.9262238	9.203995
1561093825944	TYPE_ACCELEROMETER	-0.31106567	2.5160675	9.30809
1561093825944	TYPE_MAGNETIC_FIELD	-31.5	4.2599998	-28.019999
1561093825944	TYPE_GYROSCOPE	0.17785645	-0.034301758	0.22839355
1561093825944	TYPE_ROTATION_VECTOR	0.12927072	-0.011078522	-0.61505234
1561093825944	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.74	-10.98	-170.64
1561093825944	TYPE_GYROSCOPE_UNCALIBRATED	0.21258545	0.07574463	0.04458618
1561093825944	TYPE_ACCELEROMETER_UNCALIBRATED	-0.80877686	2.292328	9.1944275
1561093825963	TYPE_ACCELEROMETER	0.41036987	2.7397919	9.621536
1561093825963	TYPE_MAGNETIC_FIELD	-31.5	4.2599998	-27.9
1561093825963	TYPE_GYROSCOPE	0.005004883	-0.03492737	0.19540405
1561093825963	TYPE_ROTATION_VECTOR	0.114706	-0.06655086	-0.59371835
1561093825963	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.74	-10.98	-170.51999
1561093825963	TYPE_GYROSCOPE_UNCALIBRATED	0.115448	0.03727722	0.1490326
1561093825963	TYPE_ACCELEROMETER_UNCALIBRATED	0.119644165	2.6763763	9.463623
1561093825982	TYPE_ACCELEROMETER	0.1710968	2.629715	9.848862
1561093825982	TYPE_MAGNETIC_FIELD	-31.5	4.5	-27.72
1561093825982	TYPE_GYROSCOPE	-0.13734436	0.06036377	0.07322693
1561093825982	TYPE_ROTATION_VECTOR	0.11501355	-0.06777079	-0.5919319
1561093825982	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.74	-10.74	-170.34
1561093825982	TYPE_GYROSCOPE_UNCALIBRATED	-0.057403564	0.03665161	0.11604309
1561093825982	TYPE_ACCELEROMETER_UNCALIBRATED	0.42712402	2.7218475	9.765106
1561093826002	TYPE_ACCELEROMETER	-0.6771698	2.486145	9.693329
1561093826002	TYPE_MAGNETIC_FIELD	-31.5	4.44	-27.72
1561093826002	TYPE_GYROSCOPE	-0.16419983	0.16299438	-0.034866333
1561093826002	TYPE_ROTATION_VECTOR	0.11435618	-0.0674823	-0.5909042
1561093826002	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.74	-10.799999	-170.34
