#	startTime:1561093906097
#	SiteID:5cd969e439e2fc0b4afea869	SiteName:华轻梅陇购物中心	FloorId:5cd969ed39e2fc0b4afeb291	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1561093906097	TYPE_WAYPOINT	61.742817	49.277412
1561093906216	TYPE_ACCELEROMETER	0.5276184	1.5433807	10.281967
1561093906216	TYPE_MAGNETIC_FIELD	29.46	2.82	-18.42
1561093906216	TYPE_GYROSCOPE	-0.1825409	-0.0016326904	-0.30976868
1561093906216	TYPE_ROTATION_VECTOR	0.06929321	0.028340632	0.65589607
1561093906216	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.779999	-12.42	-161.04
1561093906216	TYPE_GYROSCOPE_UNCALIBRATED	-0.24494934	0.06994629	-0.38912964
1561093906216	TYPE_ACCELEROMETER_UNCALIBRATED	0.5276184	1.5433807	10.281967
1561093906235	TYPE_ACCELEROMETER	0.22492981	1.4919281	9.775879
1561093906235	TYPE_MAGNETIC_FIELD	29.22	2.76	-18.6
1561093906235	TYPE_GYROSCOPE	0.13449097	0.10067749	-0.06541443
1561093906235	TYPE_ROTATION_VECTOR	0.072975986	0.031863537	0.63754153
1561093906235	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.0199986	-12.48	-161.22
1561093906235	TYPE_GYROSCOPE_UNCALIBRATED	-0.24494934	0.06994629	-0.38912964
1561093906235	TYPE_ACCELEROMETER_UNCALIBRATED	0.22492981	1.4919281	9.775879
1561093906255	TYPE_ACCELEROMETER	-0.5252228	1.3914337	9.322449
1561093906255	TYPE_MAGNETIC_FIELD	29.099998	2.6399999	-18.359999
1561093906255	TYPE_GYROSCOPE	0.22306824	-0.012313843	-0.11062622
1561093906255	TYPE_ROTATION_VECTOR	0.05235428	0.053546436	0.6459635
1561093906255	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.1399994	-12.6	-160.98
1561093906255	TYPE_GYROSCOPE_UNCALIBRATED	0.16065979	0.059265137	-0.18998718
1561093906255	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5252228	1.3914337	9.322449
1561093906274	TYPE_ACCELEROMETER	-0.96910095	1.2873383	9.104691
1561093906274	TYPE_MAGNETIC_FIELD	28.92	2.52	-18.48
1561093906274	TYPE_GYROSCOPE	0.20291138	-0.13693237	-0.055648804
1561093906274	TYPE_ROTATION_VECTOR	0.02572646	0.07852782	0.6306322
1561093906274	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.319998	-12.719999	-161.09999
1561093906274	TYPE_GYROSCOPE_UNCALIBRATED	0.16065979	0.059265137	-0.18998718
1561093906274	TYPE_ACCELEROMETER_UNCALIBRATED	-0.96910095	1.2873383	9.104691
1561093906293	TYPE_ACCELEROMETER	-0.69033813	1.3627167	9.1453705
