#	startTime:1561095016748
#	SiteID:5cd969e439e2fc0b4afea869	SiteName:华轻梅陇购物中心	FloorId:5cd969f039e2fc0b4afeb5ee	FloorName:F4
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1561095016748	TYPE_WAYPOINT	71.279526	52.202
1561095016880	TYPE_ACCELEROMETER	0.5611267	1.3184509	10.297516
1561095016880	TYPE_MAGNETIC_FIELD	-9.059999	-30.539999	-25.859999
1561095016880	TYPE_GYROSCOPE	0.026992798	-0.19740295	-0.06846619
1561095016880	TYPE_ROTATION_VECTOR	-0.018292712	-0.06738154	-0.98513585
1561095016880	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-45.299995	-45.78	-168.48
1561095016880	TYPE_GYROSCOPE_UNCALIBRATED	-0.03541565	-0.12582397	-0.14782715
1561095016880	TYPE_ACCELEROMETER_UNCALIBRATED	0.4283142	1.2849426	10.256836
1561095016899	TYPE_ACCELEROMETER	0.37927246	1.2335052	10.173096
1561095016899	TYPE_MAGNETIC_FIELD	-9.24	-30.359999	-25.619999
1561095016899	TYPE_GYROSCOPE	0.17176819	-0.07371521	-0.055648804
1561095016899	TYPE_ROTATION_VECTOR	-0.010982735	-0.06343526	-0.98486626
1561095016899	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-45.479996	-45.6	-168.23999
1561095016899	TYPE_GYROSCOPE_UNCALIBRATED	0.0128479	-0.08459473	-0.14355469
1561095016899	TYPE_ACCELEROMETER_UNCALIBRATED	0.4283142	1.2849426	10.256836
1561095016919	TYPE_ACCELEROMETER	0.33140564	1.2155609	9.815353
1561095016919	TYPE_MAGNETIC_FIELD	-9.179999	-30.48	-25.619999
