#	startTime:1561095136525
#	SiteID:5cd969e439e2fc0b4afea869	SiteName:华轻梅陇购物中心	FloorId:5cd969f039e2fc0b4afeb5ee	FloorName:F4
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1561095136525	TYPE_WAYPOINT	56.884003	47.63075
1561095136650	TYPE_ACCELEROMETER	0.07896423	1.4680023	9.701706
1561095136650	TYPE_MAGNETIC_FIELD	19.92	-22.8	-12.179999
1561095136650	TYPE_GYROSCOPE	-0.07746887	0.0206604	0.04484558
1561095136650	TYPE_ROTATION_VECTOR	0.043850716	0.070076056	0.91425794
1561095136650	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.799997	-35.879997	-154.73999
1561095136650	TYPE_GYROSCOPE_UNCALIBRATED	-0.13987732	0.09223938	-0.03451538
1561095136650	TYPE_ACCELEROMETER_UNCALIBRATED	0.119644165	1.5122681	9.711273
1561095136669	TYPE_ACCELEROMETER	-0.055038452	1.4165497	9.614365
1561095136669	TYPE_MAGNETIC_FIELD	19.92	-22.8	-12.179999
1561095136669	TYPE_GYROSCOPE	-0.12695312	0.02798462	-0.15031433
1561095136669	TYPE_ROTATION_VECTOR	0.043850716	0.070076056	0.91425794
1561095136669	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.799997	-35.879997	-154.73999
1561095136669	TYPE_GYROSCOPE_UNCALIBRATED	-0.13987732	0.09223938	-0.03451538
1561095136669	TYPE_ACCELEROMETER_UNCALIBRATED	0.017944336	1.4380951	9.667007
1561095136689	TYPE_ACCELEROMETER	-0.19142151	1.3280182	9.5354
1561095136689	TYPE_MAGNETIC_FIELD	19.92	-22.619999	-12.42
1561095136689	TYPE_GYROSCOPE	-0.12205505	0.031051636	-0.14788818
1561095136689	TYPE_ROTATION_VECTOR	0.028958628	0.067259766	0.91919416
1561095136689	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.799997	-35.699997	-154.98
1561095136689	TYPE_GYROSCOPE_UNCALIBRATED	-0.1844635	0.102630615	-0.22724915
1561095136689	TYPE_ACCELEROMETER_UNCALIBRATED	-0.12921143	1.3830566	9.574875
1561095136708	TYPE_ACCELEROMETER	-0.14237976	1.2741852	9.495926
1561095136708	TYPE_MAGNETIC_FIELD	19.8	-22.5	-12.78
1561095136708	TYPE_GYROSCOPE	-0.106781006	0.031661987	-0.13076782
1561095136708	TYPE_ROTATION_VECTOR	0.021034652	0.06841194	0.9226895
1561095136708	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.919998	-35.58	-155.34
1561095136708	TYPE_GYROSCOPE_UNCALIBRATED	-0.1844635	0.102630615	-0.22724915
1561095136708	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19740295	1.2741852	9.511475
1561095136727	TYPE_ACCELEROMETER	0.11845398	1.396225	9.462418
1561095136727	TYPE_MAGNETIC_FIELD	19.68	-22.619999	-13.38
1561095136727	TYPE_GYROSCOPE	-0.078689575	0.038986206	-0.1051178
1561095136727	TYPE_ROTATION_VECTOR	0.013929783	0.06478895	0.9290013
1561095136727	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.039997	-35.699997	-155.94
1561095136727	TYPE_GYROSCOPE_UNCALIBRATED	-0.16918945	0.10324097	-0.21012878
1561095136727	TYPE_ACCELEROMETER_UNCALIBRATED	-0.056228638	1.3184509	9.463623
1561095136747	TYPE_ACCELEROMETER	0.44865417	1.5924225	9.538986
